,小区分,succeed,normal,diff,diff_abs,pvalue
D0401,カメラ,0.298507462687,0.333333333333,-0.0348258706468,0.0348258706468,0.687233201367
D0402,マイク,0.119402985075,0.25,-0.130597014925,0.130597014925,0.0494955536358
D0403,ジェスチャー,0.186567164179,0.111111111111,0.075456053068,0.075456053068,0.28525164602
D0404,高精度情報化,0.238805970149,0.0555555555556,0.183250414594,0.183250414594,0.0146702888879
D0405,視線入力,0.0,0.0833333333333,-0.0833333333333,0.0833333333333,0.000747498472196
D0406,タッチパネル,0.238805970149,0.111111111111,0.127694859038,0.127694859038,0.0959252727054
D0498,入力装置に関し非限定,0.0,0.0,0.0,0.0,
D0499,その他の入力装置,0.089552238806,0.0277777777778,0.0617744610282,0.0617744610282,0.215615729458
D0501,ディスプレイ,0.701492537313,0.416666666667,0.284825870647,0.284825870647,0.00156034448346
D0502,時計,0.0671641791045,0.0,0.0671641791045,0.0671641791045,0.110079949906
D0503,電子ペーパー,0.0,0.0,0.0,0.0,
D0504,スピーカー,0.194029850746,0.25,-0.0559701492537,0.0559701492537,0.460899227326
D0505,イヤフォン・ヘッドフォン,0.111940298507,0.111111111111,0.000829187396352,0.000829187396352,0.988814861539
D0506,バイブレーション,0.0373134328358,0.0,0.0373134328358,0.0373134328358,0.239422817809
D0598,出力装置に関し非限定,0.0,0.0,0.0,0.0,
D0599,その他の出力装置,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
D0601,受信装置,0.283582089552,0.166666666667,0.116915422886,0.116915422886,0.155036984544
D0602,発信装置,0.283582089552,0.25,0.0335820895522,0.0335820895522,0.689173916998
D0603,通信速度,0.0,0.0,0.0,0.0,
D0698,通信装置に関し非限定,0.0,0.0,0.0,0.0,
D0699,その他の通信装置,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
D0701,3G・LTE,0.0,0.0833333333333,-0.0833333333333,0.0833333333333,0.000747498472196
D0702,WiＦｉ,0.0671641791045,0.388888888889,-0.321724709784,0.321724709784,5.42599147768e-07
D0703,BlueＴooth,0.0671641791045,0.388888888889,-0.321724709784,0.321724709784,5.42599147768e-07
D0704,近接通信（赤外線等）,0.0970149253731,0.111111111111,-0.014096185738,0.014096185738,0.802355936673
D0798,通信方式に関し非限定,0.0597014925373,0.0,0.0597014925373,0.0597014925373,0.133149931345
D0799,その他の通信装置,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
D0801,スイッチ類,0.0298507462687,0.0,0.0298507462687,0.0298507462687,0.294151687773
D0802,調整部品,0.0,0.0,0.0,0.0,
D0803,選択部品,0.0149253731343,0.0555555555556,-0.0406301824212,0.0406301824212,0.153325329503
D0898,操作部品に関し非限定,0.0,0.0,0.0,0.0,
D0899,その他の操作部品,0.0,0.0,0.0,0.0,
D0901,暗号,0.0149253731343,0.0277777777778,-0.0128524046434,0.0128524046434,0.603071674942
